Unnamed: 0,Report Number,Local Case Number,Agency Name,ACRS Report Type,Crash Date/Time,Route Type,Road Name,Cross-Street Name,Collision Type,Circumstance_Category,Weather,Surface Condition,Light,Traffic Control,Driver Substance Abuse,Person ID,Drivers License State,Vehicle ID,Vehicle First Impact Location,Vehicle Body Type,Vehicle Movement,Vehicle Going Dir,Speed Limit,Driverless Vehicle,Parked Vehicle,Vehicle Year,Vehicle Make,Latitude,Longitude,Vehicle Model,hour,Crash_year,Crash_month,Crash_day,Crash_hour,Crash_day_name,Crash_date,Crash_week
0,MCP3126006X,250037402,Montgomery_County_Police,Injury Crash,2025-08-21 17:21:00,Maryland_State_Route,N WASHINGTON ST,PARKLAND DR,Rear-End (Same Direction),Tailgating,Clear,Dry,Daylight,No Control,None Detected,BB3CB0F3-5A89-45FB-9516-48DDDB92B0A9,MD,768C98FA-C137-47BC-BE44-EE3BA4B95F66,Twelve O Clock,PassengerCar,MovingConstantSpeed,Northbound,40.0,No,No,2013,KIA,39.219796,-77.25741635,Soul_Kia,17,2025,8,21,17,Thursday,2025-08-21,34
1,MCP2349001B,250037516,Montgomery_County_Police,Property Damage Crash,2025-08-22 10:44:00,Interstate_Route,EISENHOWER MEMORIAL HWY,COLESVILLE RD,Single Vehicle,Driver Inattention,Clear,Dry,Daylight,No Control,None Detected,9B84E695-215A-447E-8AA6-D3958187BBCA,MD,BC322ECD-006B-4919-AAF8-3F64D934B789,VehicleNotAtScene,PickupTruck,MovingConstantSpeed,Northbound,55.0,No,No,2011,TOYOTA,39.18018079,-77.25065714,Camry_Toyota,10,2025,8,22,10,Friday,2025-08-22,34
3,MCP2159003K,250037509,Montgomery_County_Police,Property Damage Crash,2025-08-22 10:36:00,Maryland_State_Route,CAPITAL BELTWAY,HICKERSON DR,Rear-End (Same Direction),Tailgating,Clear,Dry,Daylight,Flashing Traffic Signal,None Detected,AE9A3389-3486-4199-B8F6-015D7D2E1139,MD,AAEB6B5A-30B2-47D3-BF59-7F14D0A5BCAD,Twelve O Clock,Van - Passenger (&lt;9 Seats),SlowingOrStopping,Southbound,30.0,No,No,2003,TOYOTA,39.20793083,-77.1414795,Sienna_Toyota,10,2025,8,22,10,Friday,2025-08-22,34
4,MCP312900D6,250034573,Montgomery_County_Police,Property Damage Crash,2025-08-03 14:10:00,Maryland_State_Route,ROCKVILLE PIKE,CATOCTIN DR,Rear vs Side,Backing Error,Clear,Dry,Daylight,No Control,None Detected,3B4FB53F-9543-48EA-8C28-14AC093FBC36,MD,B683B035-8C9F-45F7-BDB5-F9141CCF160D,VehicleNotAtScene,SportUtilityVehicle,Backing,Not On Roadway,2.5,No,No,2023,SUBARU,39.03966248,-77.05723843,Impreza_Subaru,14,2025,8,3,14,Sunday,2025-08-03,31
5,MCP284600BN,250037004,Montgomery_County_Police,Injury Crash,2025-08-19 09:50:00,County_Route,GRAND PRE RD,TWINBROOK PKWY,Single Vehicle,Speed Related,Rain,Wet,Daylight,No Control,None Detected,391A0858-066B-41A3-926D-B43D84A96A07,MD,219D547A-37CA-4C31-93C8-414479EA6A4C,Twelve O Clock,PassengerCar,MovingConstantSpeed,Northbound,25.0,No,No,2016,MAZDA,39.09273383,-77.07647,CX-5_Mazda,9,2025,8,19,9,Tuesday,2025-08-19,34
6,MCP2968005X,250037708,Montgomery_County_Police,Injury Crash,2025-08-23 11:50:00,Maryland_State_Route,ROCKVILLE PIKE (SB/L),VEITCH LA,Single Vehicle,Right-of-Way Violation,Clear,Dry,Daylight,Stop Sign,None Detected,BE379E46-1E1A-4D8E-964D-9CAEEE9B7DCB,MD,EB09501E-8CE1-4683-AFC8-557E6F2AF809,NonCollision,PassengerCar,MakingRightTurn,South,2.5,No,No,2025,NISSAN,39.05846583,-77.12126533,Altima_Nissan,11,2025,8,23,11,Saturday,2025-08-23,34
7,MCP3168008H,250037462,Montgomery_County_Police,Property Damage Crash,2025-08-21 22:45:00,Bicycle_Route,TWINBROOK PKWY,GOODHILL RD,Head-On,Right-of-Way Violation,Clear,Dry,Dark - Lighted,Traffic Signal,None Detected,297E1685-92CE-48C4-BEB5-866F63B3F195,MD,596DA346-07FE-449B-B531-EF82C50714A2,Ten O Clock,SportUtilityVehicle,MakingLeftTurn,Westbound,25.0,No,No,2021,TOYOTA,39.0562091,-77.11907977,Venza_Toyota,22,2025,8,21,22,Thursday,2025-08-21,34
8,MCP3068006J,250037227,Montgomery_County_Police,Property Damage Crash,2025-08-20 15:15:00,Other_Public_Roadway,ALLEY,SHILOH CHURCH RD,Sideswipe (Opposite Direction),Lane Violation,Clear,Dry,Daylight,No Control,None Detected,31489D44-D716-4916-9789-ED4EAB271635,MD,A02C6DDF-A08E-4973-81A9-933E72E36349,VehicleNotAtScene,OtherTruck,MovingConstantSpeed,Northbound,10.0,No,No,2022,FORD,38.98808273,-77.09409312,F-150_Ford,15,2025,8,20,15,Wednesday,2025-08-20,34
9,MCP137801DC,250034694,Montgomery_County_Police,Property Damage Crash,2025-08-04 15:47:00,Maryland_State_Route,GEORGIA AVE (SB/L),OLNEY LAYTONSVILLE RD,Rear-End (Same Direction),Tailgating,Clear,Dry,Daylight,Traffic Signal,None Detected,6A5D1587-F266-4EC7-B635-12DB91ACE089,MD,FDF76ED3-D5C5-4BC2-A8C0-C0431E6AF05A,Twelve O Clock,Van - Passenger (&lt;9 Seats),Accelerating,Eastbound,35.0,No,No,2018,FORD,39.15322038,-77.06701504,F-150_Ford,15,2025,8,4,15,Monday,2025-08-04,32
10,MCP33970019,250037255,Montgomery_County_Police,Property Damage Crash,2025-08-20 17:30:00,County_Route,OLD COLUMBIA PIKE,CENTERWAY RD,Head-On,Right-of-Way Violation,Clear,Dry,Daylight,No Control,None Detected,317385CA-37BA-4D60-BBFB-CE4D085B2BA5,CA,1260023F-DE93-4057-A5A8-34D3B4B9D325,Twelve O Clock,SportUtilityVehicle,Accelerating,Westbound,30.0,No,No,2002,CHEVROLET,39.04852817,-76.98145617,Silverado_Chevrolet,17,2025,8,20,17,Wednesday,2025-08-20,34
11,MCP3381002W,250037120,Montgomery_County_Police,Property Damage Crash,2025-08-19 20:35:00,County_Route,WISTERIA DR,GERMANTOWN RD (SB/L),Rear-End (Same Direction),Surface Condition,Clear,Dry,Dark - Lighted,Traffic Signal,None Detected,0C73183C-24A6-4589-89BB-1B99D579A69F,MD,8AACF472-1A37-445D-B16E-EE3848DDD74F,Seven O Clock,TransitBus,StoppedInTrafficLane,Southbound,40.0,No,No,2016,NISSAN,39.17693504,-77.27019937,Altima_Nissan,20,2025,8,19,20,Tuesday,2025-08-19,34
12,MCP3444000V,250035534,Montgomery_County_Police,Property Damage Crash,2025-08-09 17:36:00,County_Route,CENTURY BLVD,INDUSTRIAL PKWY,Angle Collision,Backing Error,Clear,Dry,Daylight,Traffic Signal,None Detected,DD4FBD71-F2C7-4F48-819E-792253B9CDCC,MD,93501CF8-C7DE-4E98-8969-B92E6AFAC238,Seven O Clock,PickupTruck,Backing,Not On Roadway,2.5,No,No,2016,GMC,38.99814198,-77.00297324,Sierra_GMC,17,2025,8,9,17,Saturday,2025-08-09,32
13,MCP2583004W,250037308,Montgomery_County_Police,Injury Crash,2025-08-21 02:15:00,County_Route,SHADY GROVE RD (SB/L),CROSSOVER,Sideswipe (Same Direction),Lane Violation,Clear,Dry,Dark - Lighted,No Control,None Detected,12C89ED0-6510-48B3-9A7D-CD6C88924E28,MD,0BD2E01E-0FDB-4E93-B004-B7A358FD41E7,Three O Clock,Other,MovingConstantSpeed,Westbound,40.0,No,No,2016,BMW,39.12942178,-77.16541241,X4_BMW,2,2025,8,21,2,Thursday,2025-08-21,34
14,MCP2723009V,250037762,Montgomery_County_Police,Injury Crash,2025-08-23 18:20:00,County_Route,PEBBLESTONE DR,AUTUMN TRAIL DR,Head-On,Lane Violation,Clear,Dry,Daylight,No Control,None Detected,6150381D-D8B2-4AC4-BAE2-82FCE2ED483C,MD,AC8656FE-E661-471D-A2CF-02B3646ABC1E,Two O Clock,PassengerCar,MovingConstantSpeed,Eastbound,30.0,No,No,2015,JEEP,39.09096543,-77.01947815,Cherokee_Jeep,18,2025,8,23,18,Saturday,2025-08-23,34
15,MCP2349001B,250037516,Montgomery_County_Police,Property Damage Crash,2025-08-22 10:44:00,Interstate_Route,EISENHOWER MEMORIAL HWY,HOBBS DR,Single Vehicle,Driver Inattention,Clear,Dry,Daylight,No Control,None Detected,7BD5E6E6-5893-43E0-9958-F94E6D5AD508,MD,DA165326-A99A-4B8F-B419-7C422F7DB8F2,Twelve O Clock,PassengerCar,MovingConstantSpeed,Northbound,55.0,No,No,2017,CHEVROLET,39.18018079,-77.25065714,Malibu_Chevrolet,10,2025,8,22,10,Friday,2025-08-22,34
16,MCP3040008D,250038012,Montgomery_County_Police,Property Damage Crash,2025-08-25 16:20:00,Maryland_State_Route,GREENTREE RD,OLD GEORGETOWN RD,Rear-End (Same Direction),Speed Related,Clear,Dry,Daylight,No Control,None Detected,ED652E6E-2BD1-4675-B61D-1AC6F8C6AEC2,MD,5C532FE5-0A08-41D0-9D6D-DC788C9D7BB4,Eleven O Clock,PassengerCar,MovingConstantSpeed,Northbound,40.0,No,No,2020,LEXUS,39.10162683,-77.04061483,RX_Lexus,16,2025,8,25,16,Monday,2025-08-25,35
17,MCP3444000W,250035654,Montgomery_County_Police,Property Damage Crash,2025-08-10 18:10:00,Maryland_State_Route,EISENHOWER MEMORIAL HWY,GOLDENROD LA,Sideswipe (Same Direction),Weather Related,Clear,Dry,Daylight,No Control,None Detected,1D8D3F65-7F55-46CF-AA3A-CEB7BEC5147F,MD,C84C53AA-35DA-4788-AA99-22AF20C7B19B,Eight O Clock,PassengerCar,Parked,East,2.5,No,Yes,2012,HONDA,39.00001167,-76.99011333,Civic_Honda,18,2025,8,10,18,Sunday,2025-08-10,32
18,DM8386002B,250037144,Takoma_Park_Police_Department,Property Damage Crash,2025-08-20 03:15:00,Municipality_Route,SYCAMORE AVE,ETHAN ALLEN AVE,Rear-End (Same Direction),Tailgating,Rain,Wet,Dark - Lighted,Warning Sign,None Detected,C1B4E22C-C506-4DCB-B2BA-74B15F128D42,MD,FD1C1C0F-037F-45BE-B364-A733C4CDDE40,Six O Clock,PassengerCar,MovingConstantSpeed,Westbound,25.0,No,No,2021,HONDA,38.97805945,-77.00561883,CR-V_Honda,3,2025,8,20,3,Wednesday,2025-08-20,34
20,MCP3019005T,250037346,Montgomery_County_Police,Property Damage Crash,2025-08-21 12:20:00,Spur_Route,RANDOLPH RD,WOODLAWN RD,Rear-End (Same Direction),Tailgating,Clear,Dry,Daylight,Yield Sign,None Detected,91236CA1-80C8-48D8-A9B5-8C35AFE74089,MD,E1872CED-8969-4396-9AAC-8F519C9071B0,Twelve O Clock,PassengerCar,SlowingOrStopping,Eastbound,35.0,No,No,2017,AUDI,38.98883364,-77.07040436,A3_Audi,12,2025,8,21,12,Thursday,2025-08-21,34
21,MCP3329004J,250037581,Montgomery_County_Police,Injury Crash,2025-08-22 16:46:00,US_State_Route,COLUMBIA PIKE,SHADY GROVE RD,Rear-End (Same Direction),Tailgating,Clear,Dry,Daylight,No Control,None Detected,7D1FA0FA-57BD-49F5-B150-6E75B260DA7E,MD,95410B40-E00A-4625-AB40-D1A2107BE026,Twelve O Clock,PassengerCar,SlowingOrStopping,Northbound,50.0,No,No,2011,KIA,39.11543417,-76.92787,Sorento_Kia,16,2025,8,22,16,Friday,2025-08-22,34
22,MCP34020045,250037340,Montgomery_County_Police,Injury Crash,2025-08-21 10:57:00,US_State_Route,COLUMBIA PIKE (SB/L),MONTROSE RD,Rear-End (Same Direction),Tailgating,Clear,Dry,Daylight,No Control,None Detected,85AEDB4D-844D-4A1D-B9D8-E50B8CAA31A4,MD,A08FBC17-FB55-4C62-8F9A-79CB7AE29B00,Twelve O Clock,PassengerCar,MovingConstantSpeed,Southbound,55.0,No,No,2024,HYUNDAI,39.0743462,-76.95525807,IONIQ 5_Hyundai,10,2025,8,21,10,Thursday,2025-08-21,34
23,MCP137801DC,250034694,Montgomery_County_Police,Property Damage Crash,2025-08-04 15:47:00,Maryland_State_Route,GEORGIA AVE (SB/L),OLNEY LAYTONSVILLE RD,Rear-End (Same Direction),Congestion / Backup,Clear,Dry,Daylight,Traffic Signal,None Detected,E82C53A0-6443-4F94-BB1B-C9E871F5A0FA,MD,74C7C095-3B24-45F3-B473-B558A618062E,Six O Clock,SportUtilityVehicle,SlowingOrStopping,Eastbound,30.0,No,No,2023,NISSAN,39.15322038,-77.06701504,Pathfinder_Nissan,15,2025,8,4,15,Monday,2025-08-04,32
24,MCP2800006W,250036899,Montgomery_County_Police,Property Damage Crash,2025-08-18 13:38:00,County_Route,POOKS HILL RD,ROCKVILLE PIKE (SB/L),Sideswipe (Same Direction),Lane Violation,Clear,Dry,Daylight,Traffic Signal,None Detected,FF7DF7D1-9900-40E4-81CE-A58885D82B10,MD,130A37B8-4450-477D-9142-DC31726D2677,Eleven O Clock,PassengerCar,ChangingLanes,Southbound,35.0,No,No,2007,TOYOTA,39.01482053,-77.09985828,Corolla_Toyota,13,2025,8,18,13,Monday,2025-08-18,34
25,MCP2450005X,250037867,Montgomery_County_Police,Property Damage Crash,2025-08-24 17:00:00,Maryland_State_Route,GREAT SENECA HWY (SB/L),LAKE SHORE DR,Single Vehicle,Lane Violation,Clear,Dry,Daylight,No Control,None Detected,0C9CAF23-B5FA-43DD-B964-B66AFBEAAD07,MD,05A34561-C4B8-4E98-AE0A-156C2F2B970F,One O Clock,PassengerCar,Backing,Southbound,50.0,No,No,2006,FORD,39.12941167,-77.23885167,Focus_Ford,17,2025,8,24,17,Sunday,2025-08-24,34
26,MCP34020045,250037340,Montgomery_County_Police,Injury Crash,2025-08-21 10:57:00,US_State_Route,COLUMBIA PIKE (SB/L),SLIGO CREEK PKWY,Rear-End (Same Direction),Congestion / Backup,Clear,Dry,Daylight,No Control,None Detected,588761BF-D04D-4F7A-BBB1-D32AA1980DFF,MD,F5D08BBE-C80E-4FA1-B82D-41939BF79F09,Six O Clock,PickupTruck,StoppedInTrafficLane,Southbound,55.0,No,No,2020,FORD,39.0743462,-76.95525807,F-150_Ford,10,2025,8,21,10,Thursday,2025-08-21,34
27,MCP2771005H,250036832,Montgomery_County_Police,Injury Crash,2025-08-18 08:29:00,County_Route,WINDHAM LA,GEORGIA AVE (SB/L) METRORAIL TRACK B2 RAIL,Other,Road Obstruction,Cloudy,Dry,Daylight,Traffic Signal,None Detected,98EDA345-221E-4DE5-94D6-FCCB4BCA1E26,MD,00583D40-E027-4E5C-B922-630E130E9016,Twelve O Clock,SportUtilityVehicle,MovingConstantSpeed,East,30.0,No,No,2018,HYUNDAI,39.03201333,-77.04849433,Santa Fe Sport_Hyundai,8,2025,8,18,8,Monday,2025-08-18,34
28,MCP2855005R,250037610,Montgomery_County_Police,Property Damage Crash,2025-08-22 17:43:00,Maryland_State_Route,CARROLL AVE,WATKINS POND BLVD,Other,Right-of-Way Violation,Clear,Dry,Daylight,No Control,None Detected,652D434F-8761-462A-A03C-0847F0DBF4E2,MD,40C95FBD-4458-4E3D-850C-1595B91D5471,One O Clock,SportUtilityVehicle,MakingLeftTurn,Not On Roadway,30.0,No,No,2021,HONDA,38.99319045,-76.99280011,Pilot_Honda,17,2025,8,22,17,Friday,2025-08-22,34
29,MCP3432002B,250035352,Montgomery_County_Police,Property Damage Crash,2025-08-08 15:26:00,County_Route,CONNECTICUT AVE,CLEARSPRING RD,Rear-End (Same Direction),Tailgating,Clear,Dry,Daylight,No Control,None Detected,B98D6090-F3EC-445A-9671-0A2BA11B79C1,MD,65EC6F85-7D52-4638-BD8B-EE1C8353B853,Six O Clock,PassengerCar,SlowingOrStopping,Northbound,35.0,No,No,2007,FORD,39.0897455,-77.07162617,Fusion_Ford,15,2025,8,8,15,Friday,2025-08-08,32
30,EJ7889005J,250037883,Gaithersburg_Police_Department,Property Damage Crash,2025-08-24 20:05:00,Municipality_Route,IRISH CT,GUNNERS BRANCH RD,Single Vehicle,Backing Error,Clear,Dry,Dusk,No Control,None Detected,86A8D37D-2CB9-4B5C-9372-612F73C840B1,MD,391953F3-CD28-49C5-A44B-006C761C4392,Twelve O Clock,PassengerCar,Accelerating,Not On Roadway,5.0,No,No,2025,BMW,39.13138903,-77.22643669,4 Series_BMW,20,2025,8,24,20,Sunday,2025-08-24,34
31,EJ79150007,250036966,Gaithersburg_Police_Department,Property Damage Crash,2025-08-18 21:48:00,County_Route,N SUMMIT AVE,GIRARD ST,Rear-End (Same Direction),Speed Related,Clear,Dry,Dark - Lighted,Traffic Signal,None Detected,B6A50C43-CF79-4818-8EE8-A9F4DCE552CC,MD,3A060773-1DED-402E-A506-318FE9218926,Twelve O Clock,PassengerCar,MovingConstantSpeed,Northbound,35.0,No,No,2021,TOYOTA,39.15063164,-77.19268274,Corolla_Toyota,21,2025,8,18,21,Monday,2025-08-18,34
32,MCP22090032,250037643,Montgomery_County_Police,Injury Crash,2025-08-22 22:38:00,Maryland_State_Route,OLD GEORGETOWN RD,RAMP 7 FR RAMP 2 (FR IS270) TO MD 187 SB,Angle Collision,Right-of-Way Violation,Clear,Dry,Dark - Lighted,Traffic Signal,None Detected,0FFB4C6D-1B81-47C0-9A2E-9C285AE252FC,XX,6B7A83DA-AEE9-4D0A-9877-7A046B9B3F75,Seven O Clock,PassengerCar,MakingLeftTurn,Southbound,35.0,No,No,2018,MAZDA,39.031081,-77.12619861,Mazda6_Mazda,22,2025,8,22,22,Friday,2025-08-22,34
33,DM8528000P,250036368,Takoma_Park_Police_Department,Injury Crash,2025-08-14 20:15:00,Maryland_State_Route,NEW HAMPSHIRE AVE (SB/L),GLENSIDE DR,Sideswipe (Same Direction),Lane Violation,Clear,Dry,Dark - Lighted,Traffic Signal,None Detected,49916634-FEDB-438C-B744-70DFFD3E150A,MD,197DA371-4C33-4822-AD19-95EA1F5EDED4,One O Clock,PassengerCar,SlowingOrStopping,Southbound,35.0,No,No,2018,HONDA,38.98169278,-76.98896421,Civic_Honda,20,2025,8,14,20,Thursday,2025-08-14,33
34,MCP3050006V,250037275,Montgomery_County_Police,Injury Crash,2025-08-20 19:28:00,Maryland_State_Route,GEORGIA AVE,NORTHAMPTON DR,Single Vehicle,Driver Inattention,Clear,Dry,Dark - Lighted,No Control,None Detected,63631351-21E6-465D-88F3-F29AB837870E,MD,6B9B6A66-B1D8-457D-B7F1-9415FA073C4D,One O Clock,PassengerCar,MovingConstantSpeed,Northbound,35.0,No,No,2024,TESLA,39.11608367,-77.07497817,Model Y_Tesla,19,2025,8,20,19,Wednesday,2025-08-20,34
35,MCP3168008G,250034354,Montgomery_County_Police,Property Damage Crash,2025-08-01 23:24:00,Maryland_State_Route,W MONTGOMERY AVE (WB/L),LEIGHTON AVE,Single Vehicle,Driver Inattention,Clear,Dry,Dark - Lighted,Traffic Signal,None Detected,FB12D195-D0D5-4E40-9757-FC9CB1F39852,OH,59D50338-7891-448D-87AD-E8197810FD7D,One O Clock,PassengerCar,MovingConstantSpeed,Westbound,35.0,No,No,2016,HONDA,39.1029118,-77.18945506,Civic_Honda,23,2025,8,1,23,Friday,2025-08-01,31
36,MCP2855005R,250037610,Montgomery_County_Police,Property Damage Crash,2025-08-22 17:43:00,Maryland_State_Route,CARROLL AVE,WASHINGTON GROVE LA,Other,Lane Violation,Clear,Dry,Daylight,No Control,None Detected,62BA1E68-D265-4505-9FA8-27CA4AF8724D,MD,9B05C552-DBF2-448B-BA32-2211D0A15BD0,Ten O Clock,PassengerCar,MovingConstantSpeed,Southbound,30.0,No,No,2013,TOYOTA,38.99319045,-76.99280011,Camry_Toyota,17,2025,8,22,17,Friday,2025-08-22,34
37,MCP23490019,250037044,Montgomery_County_Police,Injury Crash,2025-08-19 13:25:00,Maryland_State_Route,GERMANTOWN RD (SB/L),CROSSOVER,Rear-End (Same Direction),Speed Related,Cloudy,Dry,Daylight,Traffic Signal,None Detected,DB9FB97F-B5C5-40A3-A9C1-7C556690FFDB,MD,9F3B8D5A-4EEF-4CA0-BE59-97C23F51D299,VehicleNotAtScene,PassengerCar,SlowingOrStopping,Southbound,40.0,No,No,2015,VOLKSWAGEN,39.1887131,-77.25145107,Golf_Volkswagen,13,2025,8,19,13,Tuesday,2025-08-19,34
38,MCP2347005V,250037353,Montgomery_County_Police,Property Damage Crash,2025-08-21 13:17:00,Maryland_State_Route,SPENCERVILLE RD,DALE DR,Sideswipe (Same Direction),Passing / Turning,Clear,Dry,Daylight,No Control,None Detected,479F1998-1BF1-4560-BDBE-6A36D1E73163,MD,5218D0D8-E06C-489D-A724-D9A0AA242AFE,Seven O Clock,PassengerCar,Passing,Westbound,30.0,No,No,2016,BMW,39.10776659,-76.93774404,3 Series_BMW,13,2025,8,21,13,Thursday,2025-08-21,34
